identifier	name	namespace	description	class
GO:0034142	toll-like receptor 4 signaling pathway	biological_process	Any series of molecular signals generated as a consequence of binding to toll-like receptor 4.	GOTerm
GO:0035472	choriogonadotropin hormone receptor activity	molecular_function	Combining with the choriogonadotropin hormone to initiate a change in cell activity.	GOTerm
GO:0048730	epidermis morphogenesis	biological_process	The process in which the anatomical structures of the epidermis are generated and organized. The epidermis is the outer epithelial layer of an animal, it may be a single layer that produces an extracellular material (e.g. the cuticle of arthropods) or a complex stratified squamous epithelium, as in the case of many vertebrate species.	GOTerm
GO:0034138	toll-like receptor 3 signaling pathway	biological_process	Any series of molecular signals generated as a consequence of binding to toll-like receptor 3.	GOTerm
GO:0034137	positive regulation of toll-like receptor 2 signaling pathway	biological_process	Any process that activates or increases the frequency, rate, or extent of toll-like receptor 2 signaling pathway.	GOTerm
GO:0034136	negative regulation of toll-like receptor 2 signaling pathway	biological_process	Any process that stops, prevents, or reduces the frequency, rate, or extent of toll-like receptor 2 signaling pathway.	GOTerm
GO:0010189	vitamin E biosynthetic process	biological_process	The chemical reactions and pathways resulting in the formation of vitamin E, tocopherol, which includes a series of eight structurally similar compounds. Alpha-tocopherol is the most active form in humans and is a powerful biological antioxidant.	GOTerm
GO:0035469	determination of pancreatic left/right asymmetry	biological_process	Determination of the asymmetric location of the pancreas with respect to the left and right halves of the organism.	GOTerm
GO:0010165	response to X-ray	biological_process	Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of X-ray radiation. An X-ray is a form of electromagnetic radiation with a wavelength in the range of 10 nanometers to 100 picometers (corresponding to frequencies in the range 30 PHz to 3 EHz).	GOTerm
GO:0010164	response to cesium ion	biological_process	Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a cesium stimulus.	GOTerm
GO:0047409	alkenylglycerophosphoethanolamine hydrolase activity	molecular_function	Catalysis of the reaction: H2O + 1-(1-alkenyl)-sn-glycero-3-phosphoethanolamine = sn-glycero-3-phosphoethanolamine + an aldehyde.	GOTerm
GO:0034134	toll-like receptor 2 signaling pathway	biological_process	Any series of molecular signals generated as a consequence of binding to toll-like receptor 2.	GOTerm
GO:0048733	sebaceous gland development	biological_process	The process whose specific outcome is the progression of the sebaceous gland over time, from its formation to the mature structure.	GOTerm
GO:0048732	gland development	biological_process	The process whose specific outcome is the progression of a gland over time, from its formation to the mature structure. A gland is an organ specialised for secretion.	GOTerm
GO:0047408	alkenylglycerophosphocholine hydrolase activity	molecular_function	Catalysis of the reaction: H2O + 1-(1-alkenyl)-sn-glycero-3-phosphocholine = L-1-glycero-3-phosphocholine + an aldehyde.	GOTerm
GO:0048739	cardiac muscle fiber development	biological_process	The process whose specific outcome is the progression of cardiac muscle fiber over time, from its formation to the mature structure.	GOTerm
GO:0048738	cardiac muscle tissue development	biological_process	The process whose specific outcome is the progression of cardiac muscle over time, from its formation to the mature structure.	GOTerm
GO:0048742	regulation of skeletal muscle fiber development	biological_process	Any process that modulates the frequency, rate or extent of skeletal muscle fiber development. Muscle fibers are formed by the maturation of myotubes. They can be classed as slow, intermediate/fast or fast.	GOTerm
GO:0048741	skeletal muscle fiber development	biological_process	The process whose specific outcome is the progression of the skeletal muscle fiber over time, from its formation to the mature structure. Muscle fibers are formed by the maturation of myotubes. They can be classed as slow, intermediate/fast or fast.	GOTerm
GO:0034127	regulation of MyD88-independent toll-like receptor signaling pathway	biological_process	Any process that modulates the frequency, rate, or extent of MyD88-independent toll-like receptor signaling pathway.	GOTerm
GO:0035459	cargo loading into vesicle	biological_process	The formation of a macromolecular complex between the coat proteins and proteins and/or lipoproteins that are going to be transported by a vesicle.	GOTerm
GO:0010159	specification of animal organ position	biological_process	The regionalization process in which information that determines the correct position at which animal organ primordia are formed is generated and perceived resulting in correct positioning of the new animal organ.	GOTerm
GO:0034126	positive regulation of MyD88-dependent toll-like receptor signaling pathway	biological_process	Any process that activates or increases the frequency, rate, or extent of MyD88-dependent toll-like receptor signaling pathway.	GOTerm
GO:0034124	regulation of MyD88-dependent toll-like receptor signaling pathway	biological_process	Any process that modulates the frequency, rate, or extent of MyD88-dependent toll-like receptor signaling pathway.	GOTerm
GO:0035455	response to interferon-alpha	biological_process	Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of an interferon-alpha stimulus. Interferon-alpha is a type I interferon.	GOTerm
GO:0010155	regulation of proton transport	biological_process	Any process that modulates the frequency, rate or extent of proton transport into, out of or within a cell, or between cells, by means of some agent such as a transporter or pore.	GOTerm
GO:0035456	response to interferon-beta	biological_process	Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of an interferon-beta stimulus. Interferon-beta is a type I interferon.	GOTerm
GO:0035457	cellular response to interferon-alpha	biological_process	Any process that results in a change in state or activity of a cell (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of an interferon-alpha stimulus. Interferon-alpha is a type I interferon.	GOTerm
GO:0010157	response to chlorate	biological_process	Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a chlorate stimulus.	GOTerm
GO:0035458	cellular response to interferon-beta	biological_process	Any process that results in a change in state or activity of a cell (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of an interferon-beta stimulus. Interferon-beta is a type I interferon.	GOTerm
GO:0034123	positive regulation of toll-like receptor signaling pathway	biological_process	Any process that activates or increases the frequency, rate, or extent of toll-like receptor signaling pathway.	GOTerm
GO:0034122	negative regulation of toll-like receptor signaling pathway	biological_process	Any process that stops, prevents, or reduces the frequency, rate, or extent of toll-like receptor signaling pathway.	GOTerm
GO:0009187	cyclic nucleotide metabolic process	biological_process	The chemical reactions and pathways involving a cyclic nucleotide, a nucleotide in which the phosphate group is in diester linkage to two positions on the sugar residue.	GOTerm
GO:0010172	embryonic body morphogenesis	biological_process	The process in which the anatomical structures of the embryonic soma are generated and organized.	GOTerm
GO:0034121	regulation of toll-like receptor signaling pathway	biological_process	Any process that modulates the frequency, rate, or extent of toll-like receptor signaling pathway.	GOTerm
GO:0009186	deoxyribonucleoside diphosphate metabolic process	biological_process	The chemical reactions and pathways involving a deoxyribonucleoside diphosphate, a compound consisting of a nucleobase linked to a deoxyribose sugar esterified with diphosphate on the sugar.	GOTerm
GO:0010171	body morphogenesis	biological_process	The process in which the anatomical structures of the soma are generated and organized.	GOTerm
GO:0034120	positive regulation of erythrocyte aggregation	biological_process	Any process that activates or increases the frequency, rate, or extent of erythrocyte aggregation.	GOTerm
GO:0048745	smooth muscle tissue development	biological_process	The process whose specific outcome is the progression of smooth muscle over time, from its formation to the mature structure.	GOTerm
GO:0048743	positive regulation of skeletal muscle fiber development	biological_process	Any process that activates, maintains or increases the rate of skeletal muscle fiber development. Muscle fibers are formed by the maturation of myotubes. They can be classed as slow, intermediate/fast or fast.	GOTerm
GO:0048749	compound eye development	biological_process	The process whose specific outcome is the progression of the compound eye over time, from its formation to the mature structure. The compound eye is an organ of sight that contains multiple repeating units, often arranged hexagonally. Each unit has its own lens and photoreceptor cell(s) and can generate either a single pixelated image or multiple images, per eye.	GOTerm
GO:0048747	muscle fiber development	biological_process	The process whose specific outcome is the progression of the muscle fiber over time, from its formation to the mature structure. In skeletal muscle, fibers are formed by the maturation of myotubes. They can be classed as slow, intermediate/fast or fast.	GOTerm
GO:0048753	pigment granule organization	biological_process	A process that is carried out at the cellular level which results in the assembly, arrangement of constituent parts, or disassembly of a pigment granule.	GOTerm
GO:0048752	semicircular canal morphogenesis	biological_process	The process in which the anatomical structures of the semicircular canals are generated and organized.	GOTerm
GO:0034116	positive regulation of heterotypic cell-cell adhesion	biological_process	Any process that activates or increases the frequency, rate, or extent of heterotypic cell-cell adhesion.	GOTerm
GO:0034115	negative regulation of heterotypic cell-cell adhesion	biological_process	Any process that stops, prevents, or reduces the frequency, rate, or extent of heterotypic cell-cell adhesion.	GOTerm
GO:0034113	heterotypic cell-cell adhesion	biological_process	The attachment of a cell to a cell of a different type via adhesion molecules.	GOTerm
GO:0009181	purine ribonucleoside diphosphate catabolic process	biological_process	The chemical reactions and pathways resulting in the breakdown of purine ribonucleoside diphosphate, a compound consisting of a purine base linked to a ribose sugar esterified with diphosphate on the sugar.	GOTerm
GO:0035444	nickel cation transmembrane transport	biological_process	The directed movement of nickel (Ni) cations across a membrane by means of some agent such as a transporter or pore.	GOTerm
GO:0035445	borate transmembrane transport	biological_process	The directed movement of borate across a membrane by means of some agent such as a transporter or pore. Borate is the anion (BO3)3-; boron is a group 13 element, with properties which are borderline between metals and non-metals.	GOTerm
GO:0071691	cardiac muscle thin filament assembly	biological_process	The aggregation, arrangement and bonding together of proteins to form the actin-based thin filaments of myofibrils in cardiac muscle.	GOTerm
GO:0070361	mitochondrial light strand promoter anti-sense binding	molecular_function	Interacting selectively and non-covalently with the anti-sense strand of the light strand promoter, a promoter located on the light, or cytosine-rich, strand of mitochondrial DNA.	GOTerm
GO:0070365	hepatocyte differentiation	biological_process	The process in which a relatively unspecialized cell acquires the specialized features of a hepatocyte. A hepatocyte is specialized epithelial cell that is organized into interconnected plates called lobules, and is the main structural component of the liver.	GOTerm
GO:0044089	positive regulation of cellular component biogenesis	biological_process	Any process that activates or increases the frequency, rate or extent of cellular component biogenesis, a process that results in the biosynthesis of constituent macromolecules, assembly, and arrangement of constituent parts of a cellular component.	GOTerm
GO:0070362	mitochondrial heavy strand promoter anti-sense binding	molecular_function	Interacting selectively and non-covalently with the anti-sense strand of the heavy strand promoter, a promoter located on the heavy, or guanine-rich, strand of mitochondrial DNA.	GOTerm
GO:0044088	regulation of vacuole organization	biological_process	Any process that modulates the frequency, rate or extent of a process involved in the formation, arrangement of constituent parts, or disassembly of a vacuole.	GOTerm
GO:0070363	mitochondrial light strand promoter sense binding	molecular_function	Interacting selectively and non-covalently with the sense strand of the light strand promoter, a promoter located on the light, or cytosine-rich, strand of mitochondrial DNA.	GOTerm
GO:0070368	positive regulation of hepatocyte differentiation	biological_process	Any process that activates or increases the rate or extent of hepatocyte differentiation.	GOTerm
GO:0070369	beta-catenin-TCF7L2 complex	cellular_component	A protein complex that contains beta-catenin and TCF7L2 (TCF4), binds to the TCF DNA motif within a promoter element, and is involved in the regulation of WNT target gene transcription.	GOTerm
GO:0070367	negative regulation of hepatocyte differentiation	biological_process	Any process that stops or decreases the rate or extent of hepatocyte differentiation.	GOTerm
GO:0070350	regulation of white fat cell proliferation	biological_process	Any process that modulates the frequency, rate or extent of white fat cell proliferation.	GOTerm
GO:0071681	cellular response to indole-3-methanol	biological_process	Any process that results in a change in state or activity of a cell (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of an indole-3-methanol stimulus.	GOTerm
GO:0071682	endocytic vesicle lumen	cellular_component	The volume enclosed by the membrane of an endocytic vesicle.	GOTerm
GO:0070352	positive regulation of white fat cell proliferation	biological_process	Any process that activates or increases the rate or extent of white fat cell proliferation.	GOTerm
GO:0070358	actin polymerization-dependent cell motility	biological_process	A process involved in the controlled movement of a bacterial cell powered by the continuous polymerization of actin at one pole of the cell.	GOTerm
GO:0044090	positive regulation of vacuole organization	biological_process	Any process that activates or increases the frequency, rate or extent of a process involved in the formation, arrangement of constituent parts, or disassembly of a vacuole.	GOTerm
GO:0044092	negative regulation of molecular function	biological_process	Any process that stops or reduces the rate or extent of a molecular function, an elemental biological activity occurring at the molecular level, such as catalysis or binding.	GOTerm
GO:0044091	membrane biogenesis	biological_process	A cellular process that results in the biosynthesis of constituent macromolecules, assembly, and arrangement of constituent parts of a membrane.	GOTerm
GO:0070382	exocytic vesicle	cellular_component	A transport vesicle that mediates transport from an intracellular compartment to the plasma membrane, and fuses with the plasma membrane to release various cargo molecules, such as proteins or hormones, by exocytosis.	GOTerm
GO:0070383	DNA cytosine deamination	biological_process	The removal of an amino group from a cytosine residue in DNA, forming a uracil residue.	GOTerm
GO:0070384	Harderian gland development	biological_process	The process whose specific outcome is the progression of the Harderian gland over time, from its formation to the mature structure. The Harderian gland is an anterior orbital structure usually associated with the nictitating membrane, and produces and secretes a variety of substances to the eye, depending upon the species.	GOTerm
GO:0070389	chaperone cofactor-dependent protein refolding	biological_process	The process of assisting in the restoration of the biological activity of an unfolded or misfolded protein, which is dependent on additional protein cofactors. This process occurs over one or several cycles of nucleotide hydrolysis-dependent binding and release.	GOTerm
GO:0070371	ERK1 and ERK2 cascade	biological_process	An intracellular protein kinase cascade containing at least ERK1 or ERK2 (MAPKs), a MEK (a MAPKK) and a MAP3K. The cascade can also contain two additional tiers: the upstream MAP4K and the downstream MAP Kinase-activated kinase (MAPKAPK). The kinases in each tier phosphorylate and activate the kinases in the downstream tier to transmit a signal within a cell.	GOTerm
GO:0070372	regulation of ERK1 and ERK2 cascade	biological_process	Any process that modulates the frequency, rate or extent of signal transduction mediated by the ERK1 and ERK2 cascade.	GOTerm
GO:0070370	cellular heat acclimation	biological_process	Any process that increases heat tolerance of a cell in response to high temperatures.	GOTerm
GO:0070375	ERK5 cascade	biological_process	An intracellular protein kinase cascade containing at least ERK5 (also called BMK1; a MAPK), a MEK (a MAPKK) and a MAP3K. The cascade can also contain two additional tiers: the upstream MAP4K and the downstream MAP Kinase-activated kinase (MAPKAPK). The kinases in each tier phosphorylate and activate the kinases in the downstream tier to transmit a signal within a cell.	GOTerm
GO:0070373	negative regulation of ERK1 and ERK2 cascade	biological_process	Any process that stops, prevents, or reduces the frequency, rate or extent of signal transduction mediated by the ERK1 and ERK2 cascade.	GOTerm
GO:0070374	positive regulation of ERK1 and ERK2 cascade	biological_process	Any process that activates or increases the frequency, rate or extent of signal transduction mediated by the ERK1 and ERK2 cascade.	GOTerm
GO:0009712	catechol-containing compound metabolic process	biological_process	The chemical reactions and pathways involving a compound containing a pyrocatechol (1,2-benzenediol) nucleus or substituent.	GOTerm
GO:0009720	detection of hormone stimulus	biological_process	The series of events in which a hormone stimulus is received by a cell and converted into a molecular signal.	GOTerm
GO:0009725	response to hormone	biological_process	Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a hormone stimulus.	GOTerm
GO:0010701	positive regulation of norepinephrine secretion	biological_process	Any process that increases the frequency, rate or extent of the regulated release of norepinephrine.	GOTerm
GO:0010700	negative regulation of norepinephrine secretion	biological_process	Any process that decreases the frequency, rate or extent of the regulated release of norepinephrine.	GOTerm
GO:0009750	response to fructose	biological_process	Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a fructose stimulus.	GOTerm
GO:0008422	beta-glucosidase activity	molecular_function	Catalysis of the hydrolysis of terminal, non-reducing beta-D-glucose residues with release of beta-D-glucose.	GOTerm
GO:0008420	CTD phosphatase activity	molecular_function	Catalysis of the reaction: phospho-(DNA-directed RNA polymerase) + H2O = (DNA-directed RNA polymerase) + phosphate.	GOTerm
GO:0008427	calcium-dependent protein kinase inhibitor activity	molecular_function	Stops, prevents or reduces the activity of a calcium-dependent protein kinase.	GOTerm
GO:0008426	protein kinase C inhibitor activity	molecular_function	Stops, prevents or reduces the activity of protein kinase C, an enzyme which phosphorylates a protein.	GOTerm
GO:0008425	2-polyprenyl-6-methoxy-1,4-benzoquinone methyltransferase activity	molecular_function	Catalysis of the reaction: 2-polyprenyl-6-methoxy-1,4-benzoquinone + S-adenosyl-L-methionine = 2-polyprenyl-3-methyl-6-methoxy-1,4-benzoquinone + S-adenosyl-L-homocysteine.	GOTerm
GO:0009756	carbohydrate mediated signaling	biological_process	A series of molecular signals mediated by the detection of carbohydrate.	GOTerm
GO:0009755	hormone-mediated signaling pathway	biological_process	A series of molecular signals mediated by the detection of a hormone.	GOTerm
GO:0008424	glycoprotein 6-alpha-L-fucosyltransferase activity	molecular_function	Catalysis of the reaction: N(4)-{N-acetyl-beta-D-glucosaminyl-(1->2)-alpha-D-mannosyl-(1->3)-[N-acetyl-beta-D-glucosaminyl-(1->2)-alpha-D-mannosyl-(1->6)]-beta-D-mannosyl-(1->4)-N-acetyl-beta-D-glucosaminyl-(1->4)-N-acetyl-beta-D-glucosaminyl}-L-asparagine + GDP-L-fucose = N(4)-{N-acetyl-beta-D-glucosaminyl-(1->2)-alpha-D-mannosyl-(1->3)-[N-acetyl-beta-D-glucosaminyl-(1->2)-alpha-D-mannosyl-(1->6)]-beta-D-mannosyl-(1->4)-N-acetyl-beta-D-glucosaminyl-(1->4)-[alpha-L-fucosyl-(1->6)]-N-acetyl-beta-D-glucosaminyl}asparagine + GDP + H(+).	GOTerm
GO:0034707	chloride channel complex	cellular_component	An ion channel complex through which chloride ions pass.	GOTerm
GO:0034706	sodium channel complex	cellular_component	An ion channel complex through which sodium ions pass.	GOTerm
GO:0008419	RNA lariat debranching enzyme activity	molecular_function	Catalysis of the hydrolysis of branched RNA structures that contain vicinal 2'-5'- and 3'-5'-phosphodiester bonds at a branch point nucleotide.	GOTerm
GO:0010739	positive regulation of protein kinase A signaling	biological_process	Any process that increases the rate, frequency, or extent of protein kinase A signaling. PKA signaling is the series of reactions, mediated by the intracellular serine/threonine kinase protein kinase A, which occurs as a result of a single trigger reaction or compound.	GOTerm
GO:0034705	potassium channel complex	cellular_component	An ion channel complex through which potassium ions pass.	GOTerm
GO:0008418	protein-N-terminal asparagine amidohydrolase activity	molecular_function	Catalysis of the reaction: protein-L-asparagine + H2O = protein-L-aspartate + NH3. This reaction is the deamidation of an N-terminal asparagine residue in a peptide or protein.	GOTerm
GO:0009749	response to glucose	biological_process	Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a glucose stimulus.	GOTerm
GO:0034704	calcium channel complex	cellular_component	An ion channel complex through which calcium ions pass.	GOTerm
GO:0008417	fucosyltransferase activity	molecular_function	Catalysis of the transfer of a fucosyl group to an acceptor molecule, typically another carbohydrate or a lipid.	GOTerm
GO:0010736	serum response element binding	molecular_function	Interacting selectively and non-covalently with the serum response element (SRE), a short sequence with dyad symmetry found in the promoters of some of the cellular immediate-early genes, regulated by serum.	GOTerm
GO:0010735	positive regulation of transcription via serum response element binding	biological_process	Any process that increases the frequency, rate or extent of the specifically regulated synthesis of RNA from DNA encoding a specific set of genes as a result of a transcription factor interacting with a serum response element (SRE). A serum response element is a short sequence with dyad symmetry found in the promoters of some of the cellular immediate-early genes, regulated by serum.	GOTerm
GO:0010738	regulation of protein kinase A signaling	biological_process	Any process that modulates the rate, frequency, or extent of protein kinase A signaling. PKA signaling is the series of reactions, mediated by the intracellular serine/threonine kinase protein kinase A, which occurs as a result of a single trigger reaction or compound.	GOTerm
GO:0010737	protein kinase A signaling	biological_process	A series of reactions, mediated by the intracellular serine/threonine kinase protein kinase A, which occurs as a result of a single trigger reaction or compound.	GOTerm
GO:0010734	negative regulation of protein glutathionylation	biological_process	Any process that decreases the rate, frequency, or extent of protein glutathionylation. Protein glutathionylation is the protein modification process in which a glutathione molecule is added to a protein amino acid through a disulfide linkage.	GOTerm
GO:0010730	negative regulation of hydrogen peroxide biosynthetic process	biological_process	Any process that decreases the rate, frequency or extent of hydrogen peroxide biosynthesis. The chemical reactions and pathways resulting in the formation of hydrogen peroxide (H2O2), a potentially harmful byproduct of aerobic cellular respiration which can cause damage to DNA.	GOTerm
GO:0034701	tripeptidase activity	molecular_function	Catalysis of the hydrolysis of a tripeptide.	GOTerm
GO:0008430	selenium binding	molecular_function	Interacting selectively and non-covalently with selenium (Se).	GOTerm
GO:0008434	calcitriol receptor activity	molecular_function	Combining with calcitriol, the hormonally active form of vitamin D3, and transmitting the signal to the transcriptional machinery by interacting selectively and non-covalently with a specific DNA sequence in order to modulate transcription by RNA polymerase II.	GOTerm
GO:0007100	mitotic centrosome separation	biological_process	Separation of duplicated centrosome components at the beginning of mitosis. The centriole pair within each centrosome becomes part of a separate microtubule organizing center that nucleates a radial array of microtubules called an aster. The two asters move to opposite sides of the nucleus to form the two poles of the mitotic spindle.	GOTerm
GO:0008432	JUN kinase binding	molecular_function	Interacting selectively and non-covalently with JUN kinase, an enzyme that catalyzes the phosphorylation and activation of members of the JUN family.	GOTerm
GO:0008431	vitamin E binding	molecular_function	Interacting selectively and non-covalently with vitamin E, tocopherol, which includes a series of eight structurally similar compounds. Alpha-tocopherol is the most active form in humans and is a powerful biological antioxidant.	GOTerm
GO:0008437	thyrotropin-releasing hormone activity	molecular_function	The action characteristic of thyrotropin-releasing hormone (TRH), a hormone released by the mammalian hypothalamus into the hypophyseal-portal circulation in response to neural and/or chemical stimuli. Upon receptor binding, TRH increases the secretion of thyroid-stimulating hormone by the anterior pituitary.	GOTerm
GO:0008429	phosphatidylethanolamine binding	molecular_function	Interacting selectively and non-covalently with phosphatidylethanolamine, any of a class of glycerophospholipids in which a phosphatidyl group is esterified to the hydroxyl group of ethanolamine.	GOTerm
GO:0008428	ribonuclease inhibitor activity	molecular_function	Stops, prevents or reduces the activity of a ribonuclease, any enzyme that catalyzes the hydrolysis of phosphodiester bonds in chains of RNA.	GOTerm
GO:0010747	positive regulation of plasma membrane long-chain fatty acid transport	biological_process	Any process that increases the rate, frequency or extent of plasma membrane long-chain fatty acid transport. Plasma membrane long-chain fatty acid transport is the directed movement of long-chain fatty acids across the plasma membrane. A long-chain fatty acid is a fatty acid with a chain length between C13 and C22.	GOTerm
GO:0010748	negative regulation of plasma membrane long-chain fatty acid transport	biological_process	Any process that decreases the rate, frequency or extent of plasma membrane long-chain fatty acid transport. Plasma membrane long-chain fatty acid transport is the directed movement of long-chain fatty acids across the plasma membrane.	GOTerm
GO:0010743	regulation of macrophage derived foam cell differentiation	biological_process	Any process that modulates the rate, frequency or extent of macrophage derived foam cell differentiation. Macrophage derived foam cell differentiation is the process in which a macrophage acquires the specialized features of a foam cell. A foam cell is a type of cell containing lipids in small vacuoles and typically seen in atherosclerotic lesions, as well as other conditions.	GOTerm
GO:0010742	macrophage derived foam cell differentiation	biological_process	The process in which a monocyte acquires the specialized features of a foam cell. A foam cell is a type of cell containing lipids in small vacuoles and typically seen in atherosclerotic lesions, as well as other conditions.	GOTerm
GO:0010745	negative regulation of macrophage derived foam cell differentiation	biological_process	Any process that decreases the rate, frequency or extent of macrophage derived foam cell differentiation. Macrophage derived foam cell differentiation is the process in which a macrophage acquires the specialized features of a foam cell. A foam cell is a type of cell containing lipids in small vacuoles and typically seen in atherosclerotic lesions, as well as other conditions.	GOTerm
GO:0010744	positive regulation of macrophage derived foam cell differentiation	biological_process	Any process that increases the rate, frequency or extent of macrophage derived foam cell differentiation. Macrophage derived foam cell differentiation is the process in which a macrophage acquires the specialized features of a foam cell. A foam cell is a type of cell containing lipids in small vacuoles and typically seen in atherosclerotic lesions, as well as other conditions.	GOTerm
GO:0008401	retinoic acid 4-hydroxylase activity	molecular_function	Catalysis of the conversion of retinoic acid to 4-hydroxy-retinoic acid.	GOTerm
GO:0008405	arachidonic acid 11,12-epoxygenase activity	molecular_function	Catalysis of an NADPH- and oxygen-dependent reaction that converts arachidonic acid to cis-11,12-epoxyeicosatrienoic acid.	GOTerm
GO:0008404	arachidonic acid 14,15-epoxygenase activity	molecular_function	Catalysis of an NADPH- and oxygen-dependent reaction that converts arachidonic acid to cis-14,15-epoxyeicosatrienoic acid.	GOTerm
GO:0008403	25-hydroxycholecalciferol-24-hydroxylase activity	molecular_function	Catalysis of the hydroxylation of C-24 of 25-hydroxycholecalciferol (25-hydroxyvitamin D3) to form 24(R),25-dihydroxycholecalciferol.	GOTerm
GO:0010718	positive regulation of epithelial to mesenchymal transition	biological_process	Any process that increases the rate, frequency, or extent of epithelial to mesenchymal transition. Epithelial to mesenchymal transition is where an epithelial cell loses apical/basolateral polarity, severs intercellular adhesive junctions, degrades basement membrane components and becomes a migratory mesenchymal cell.	GOTerm
GO:0010717	regulation of epithelial to mesenchymal transition	biological_process	Any process that modulates the rate, frequency, or extent of epithelial to mesenchymal transition. Epithelial to mesenchymal transition where an epithelial cell loses apical/basolateral polarity, severs intercellular adhesive junctions, degrades basement membrane components and becomes a migratory mesenchymal cell.	GOTerm
GO:0010719	negative regulation of epithelial to mesenchymal transition	biological_process	Any process that decreases the rate, frequency, or extent of epithelial to mesenchymal transition. Epithelial to mesenchymal transition where an epithelial cell loses apical/basolateral polarity, severs intercellular adhesive junctions, degrades basement membrane components and becomes a migratory mesenchymal cell.	GOTerm
GO:0010714	positive regulation of collagen metabolic process	biological_process	Any process that increases the frequency, rate or extent of the chemical reactions and pathways resulting in the metabolism of collagen, any of a group of fibrous proteins of very high tensile strength that form the main component of connective tissue in animals.	GOTerm
GO:0010716	negative regulation of extracellular matrix disassembly	biological_process	Any process that decreases the rate, frequency or extent of extracellular matrix disassembly. Extracellular matrix disassembly is a process that results in the breakdown of the extracellular matrix.	GOTerm
GO:0010715	regulation of extracellular matrix disassembly	biological_process	Any process that modulates the rate, frequency or extent of extracellular matrix disassembly. Extracellular matrix disassembly is a process that results in the breakdown of the extracellular matrix.	GOTerm
GO:0010711	negative regulation of collagen catabolic process	biological_process	Any process that decreases the rate, frequency or extent of collagen catabolism. Collagen catabolism is the proteolytic chemical reactions and pathways resulting in the breakdown of collagen in the extracellular matrix.	GOTerm
GO:0009743	response to carbohydrate	biological_process	Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a carbohydrate stimulus.	GOTerm
GO:0008410	CoA-transferase activity	molecular_function	Catalysis of the transfer of a coenzyme A (CoA) group from one compound (donor) to another (acceptor).	GOTerm
GO:0008413	8-oxo-7,8-dihydroguanosine triphosphate pyrophosphatase activity	molecular_function	Catalysis of the reaction: 8-oxo-7,8-dihydroguanosine triphosphate = 8-oxo-7,8-dihydroguanosine phosphate + diphosphate. 8-oxo-7,8-dihydroguanosine triphosphate (8-oxo-GTP) is the oxidised form of the free guanine nucleotide and can act as a potent mutagenic substrate for transcription.	GOTerm
GO:0009744	response to sucrose	biological_process	Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a sucrose stimulus.	GOTerm
GO:0008409	5'-3' exonuclease activity	molecular_function	Catalysis of the hydrolysis of ester linkages within nucleic acids by removing nucleotide residues from the 5' end.	GOTerm
GO:0010729	positive regulation of hydrogen peroxide biosynthetic process	biological_process	Any process that increases the rate, frequency or extent of hydrogen peroxide biosynthesis. The chemical reactions and pathways resulting in the formation of hydrogen peroxide (H2O2), a potentially harmful byproduct of aerobic cellular respiration which can cause damage to DNA.	GOTerm
GO:0008408	3'-5' exonuclease activity	molecular_function	Catalysis of the hydrolysis of ester linkages within nucleic acids by removing nucleotide residues from the 3' end.	GOTerm
GO:0008406	gonad development	biological_process	The process whose specific outcome is the progression of the gonad over time, from its formation to the mature structure. The gonad is an animal organ that produces gametes; in some species it also produces hormones.	GOTerm
GO:0010725	regulation of primitive erythrocyte differentiation	biological_process	Any process that modulates the rate, frequency, or extent of primitive erythrocyte differentiation. Primitive erythrocyte differentiation occurs as part of the process of primitive hemopoiesis.	GOTerm
GO:0010724	regulation of definitive erythrocyte differentiation	biological_process	Any process that modulates the rate, frequency, or extent of definitive erythrocyte differentiation. Definitive erythrocyte differentiation occurs as part of the process of definitive hemopoiesis.	GOTerm
GO:0010727	negative regulation of hydrogen peroxide metabolic process	biological_process	Any process that decreases the frequency, rate or extent of the chemical reactions and pathways involving hydrogen peroxide.	GOTerm
GO:0010721	negative regulation of cell development	biological_process	Any process that decreases the rate, frequency or extent of the progression of the cell over time, from its formation to the mature structure. Cell development does not include the steps involved in committing a cell to a specific fate.	GOTerm
